Gen,Fish,Sharks
1,69,47
2,62,48
3,64,45
4,66,46
5,63,41
6,66,42
7,68,44
8,64,44
9,62,44
10,57,44
11,54,42
12,57,42
13,63,43
14,61,43
15,59,43
16,62,42
17,59,39
18,55,39
19,53,39
20,50,37
21,54,37
22,54,36
23,54,35
24,55,32
25,52,29
26,58,26
27,55,26
28,54,26
29,52,25
30,51,24
31,52,24
32,53,22
33,54,21
34,60,21
35,63,21
36,72,21
37,76,20
38,74,19
39,72,18
40,69,19
41,71,19
42,70,15
43,69,14
44,75,15
45,78,15
46,93,14
47,97,14
48,94,14
49,92,13
50,90,13
51,99,13
52,97,12
53,98,11
54,104,11
55,115,11
56,142,11
57,161,11
58,157,11
59,157,11
60,155,11
61,162,11
62,161,10
63,167,11
64,174,11
65,191,10
66,237,10
67,267,9
68,263,9
69,259,9
70,255,9
71,270,9
72,274,9
73,286,9
74,302,9
75,330,9
76,401,9
77,452,9
78,460,9
79,461,10
80,456,9
81,475,9
82,485,10
83,504,10
84,526,10
85,569,11
86,602,13
87,619,13
88,619,13
89,615,13
90,616,15
91,631,15
92,629,15
93,647,15
94,656,15
95,680,15
96,702,15
97,710,15
98,713,15
99,710,15
100,714,15
101,721,15
102,721,15
103,731,15
104,736,15
105,752,15
106,763,15
107,763,15
108,769,15
109,773,15
110,774,15
111,774,15
112,776,15
113,776,16
114,778,16
115,776,16
116,779,16
117,781,16
118,782,16
119,782,16
120,780,16
121,780,16
122,779,16
123,780,16
124,780,16
125,779,16
126,781,16
127,779,16
128,779,16
129,775,18
130,775,18
131,776,18
132,775,20
133,770,20
134,766,20
135,767,22
136,764,26
137,762,26
138,760,26
139,759,26
140,756,30
141,753,30
142,751,30
143,747,30
144,749,30
145,750,30
146,753,30
147,758,30
148,756,30
149,750,30
150,749,30
151,752,30
152,752,30
153,755,30
154,757,30
155,755,30
156,755,30
157,751,30
158,749,30
159,749,30
160,752,30
161,757,30
162,760,30
163,758,32
164,757,32
165,760,32
166,756,32
167,756,32
168,756,32
169,756,32
170,753,32
171,755,32
172,749,32
173,746,32
174,743,32
175,744,32
176,749,32
177,748,32
178,748,32
179,748,36
180,744,36
181,748,36
182,745,40
183,740,40
184,739,40
185,734,44
186,718,52
187,712,52
188,705,52
189,694,52
190,683,60
191,666,60
192,651,60
193,631,60
194,622,60
195,607,60
196,586,60
197,552,60
198,539,60
199,520,60
200,495,60
201,478,60
202,454,60
203,433,60
204,409,60
205,374,60
206,351,60
207,323,60
208,307,60
209,295,60
210,273,60
211,262,60
212,239,60
213,207,64
214,190,64
215,169,64
216,146,64
217,126,64
218,125,64
219,119,64
220,103,64
221,100,64
222,96,64
223,93,64
224,94,64
225,88,64
226,80,63
227,73,63
228,74,63
229,67,71
230,61,70
231,65,64
232,62,66
233,61,64
234,62,64
235,54,65
236,51,73
237,47,69
238,48,67
239,42,65
240,37,75
241,41,73
242,37,71
243,36,70
244,36,64
245,31,60
246,27,59
247,23,56
248,22,55
249,20,53
250,21,48
251,23,40
252,24,39
253,24,37
254,23,35
255,21,27
256,20,27
257,22,23
258,21,21
259,21,21
260,22,20
261,25,18
262,27,13
263,27,14
264,27,13
265,25,13
266,24,13
267,27,13
268,27,11
269,27,11
270,26,10
271,31,9
272,31,9
273,30,8
274,30,8
275,30,8
276,30,8
277,34,8
278,35,7
279,34,8
280,37,8
281,45,8
282,49,8
283,48,7
284,52,7
285,52,6
286,52,7
287,60,7
288,61,7
289,61,6
290,69,6
291,85,6
292,93,6
293,93,6
294,101,5
295,101,4
296,100,4
297,113,4
298,117,3
299,116,3
300,131,3
301,164,2
302,179,2
303,179,2
304,193,2
305,192,2
306,192,2
307,215,2
308,222,2
309,222,2
310,247,2
311,312,2
312,344,2
313,342,2
314,369,2
315,370,2
316,370,2
317,409,2
318,423,2
319,423,2
320,468,2
321,559,2
322,601,2
323,611,2
324,638,2
325,645,2
326,647,2
327,694,2
328,712,2
329,719,4
330,748,4
331,771,4
332,775,4
333,777,4
334,778,4
335,783,4
336,783,4
337,789,4
338,792,4
339,792,4
340,789,4
341,790,4
342,792,4
343,794,4
344,793,4
345,792,4
346,792,4
347,795,4
348,794,4
349,794,4
350,795,4
351,795,4
352,794,4
353,795,4
354,795,4
355,794,4
356,793,4
357,794,4
358,796,4
359,796,4
360,795,4
361,794,4
362,794,4
363,793,4
364,793,4
365,793,4
366,793,4
367,795,4
368,795,4
369,795,4
370,795,4
371,795,4
372,795,4
373,794,4
374,795,4
375,795,4
376,796,4
377,796,4
378,796,4
379,792,8
380,790,8
381,791,8
382,791,8
383,790,8
384,789,8
385,789,8
386,790,8
387,790,8
388,790,8
389,791,8
390,791,8
391,790,8
392,789,8
393,790,8
394,788,8
395,789,8
396,791,8
397,789,8
398,790,8
399,790,8
400,789,8
401,790,8
402,788,8
403,791,8
404,791,8
405,790,8
406,788,8
407,789,8
408,789,8
409,788,8
410,786,8
411,786,8
412,787,8
413,787,8
414,789,8
415,789,8
416,789,8
417,787,8
418,789,8
419,788,8
420,788,8
421,788,8
422,790,8
423,791,8
424,790,8
425,789,8
426,788,8
427,788,8
428,789,8
429,782,16
430,775,16
431,774,16
432,778,16
433,780,16
434,778,16
435,774,16
436,774,16
437,773,16
438,773,16
439,771,16
440,772,16
441,771,16
442,770,16
443,770,16
444,771,16
445,769,16
446,770,16
447,773,16
448,772,16
449,772,16
450,774,16
451,775,16
452,776,16
453,780,16
454,779,16
455,778,16
456,778,16
457,777,16
458,778,16
459,777,16
460,778,16
461,781,16
462,779,16
463,780,16
464,781,16
465,780,16
466,780,16
467,779,16
468,780,16
469,781,16
470,781,16
471,782,16
472,781,16
473,780,16
474,779,16
475,780,16
476,781,16
477,778,16
478,780,16
479,766,32
480,754,32
481,752,32
482,753,32
483,746,32
484,751,32
485,751,32
486,749,32
487,745,32
488,740,32
489,739,32
490,739,32
491,741,32
492,739,32
493,736,32
494,739,32
495,737,32
496,734,32
497,735,32
498,734,32
499,736,32
500,736,32
501,737,32
502,738,32
503,739,32
504,738,32
505,741,32
506,745,32
507,744,32
508,749,32
509,750,32
510,743,32
511,749,32
512,743,32
513,746,32
514,740,32
515,744,32
516,744,32
517,746,32
518,745,32
519,749,32
520,746,32
521,749,32
522,741,32
523,741,32
524,743,32
525,745,32
526,750,32
527,751,32
528,751,32
529,726,64
530,708,64
531,694,64
532,680,64
533,668,64
534,651,64
535,635,64
536,621,64
537,591,64
538,570,64
539,523,64
540,488,64
541,466,64
542,435,64
543,414,64
544,403,64
545,387,64
546,355,64
547,326,64
548,300,64
549,271,64
550,251,64
551,228,64
552,212,64
553,197,64
554,183,64
555,158,64
556,137,64
557,117,64
558,106,64
559,91,64
560,89,64
561,77,64
562,79,64
563,70,64
564,68,64
565,67,64
566,64,63
567,63,63
568,58,63
569,49,62
570,47,59
571,42,59
572,42,57
573,43,51
574,42,47
575,38,45
576,36,41
577,37,38
578,37,37
579,33,68
580,33,66
581,32,64
582,33,61
583,33,61
584,35,59
585,32,56
586,25,55
587,28,50
588,27,50
589,22,49
590,17,48
591,17,47
592,16,47
593,16,45
594,18,23
595,13,21
596,12,19
597,13,18
598,14,17
599,14,16
600,15,16
601,15,15
602,16,15
603,17,15
604,20,14
605,19,11
606,18,11
607,20,9
608,20,8
609,19,8
610,21,6
611,21,5
612,22,5
613,25,5
614,30,5
615,29,5
616,28,5
617,32,5
618,34,5
619,33,5
620,37,5
621,37,5
622,39,4
623,43,4
624,51,3
625,51,3
626,50,3
627,58,3
628,61,3
629,61,6
630,69,6
631,67,5
632,69,5
633,78,5
634,94,5
635,93,5
636,91,5
637,102,5
638,106,5
639,105,5
640,121,5
641,119,5
642,127,5
643,143,5
644,165,5
645,164,5
646,163,5
647,184,5
648,190,5
649,189,5
650,216,5
651,215,5
652,228,5
653,262,5
654,305,5
655,303,5
656,303,4
657,340,4
658,353,4
659,352,4
660,398,4
661,405,4
662,427,4
663,485,4
664,556,4
665,563,4
666,561,4
667,614,4
668,639,4
669,639,4
670,689,4
671,703,4
672,731,4
673,770,4
674,789,4
675,789,4
676,793,4
677,791,4
678,792,4
679,789,8
680,786,8
681,786,8
682,785,8
683,790,8
684,789,8
685,790,8
686,791,8
687,789,8
688,790,8
689,790,8
690,789,8
691,789,8
692,789,8
693,788,8
694,787,8
695,788,8
696,788,8
697,787,8
698,787,8
699,787,8
700,788,8
701,788,8
702,786,8
703,789,8
704,789,8
705,790,8
706,788,8
707,789,8
708,788,8
709,787,8
710,788,8
711,787,8
712,788,8
713,789,8
714,791,8
715,789,8
716,791,8
717,791,8
718,792,8
719,791,8
720,791,8
721,791,8
722,790,8
723,790,8
724,791,8
725,790,8
726,790,8
727,789,8
728,791,8
729,784,16
730,780,16
731,779,16
732,776,16
